training_run	training_condition	seed	eval_name	accuracy	macro_precision	macro_recall	macro_f1	weighted_f1	irony_to_sarcasm	sarcasm_to_irony	test_n	test_id_sha256	best_validation_macro_f1
N1_BERTweet_AC_seed2026	AC	2026	AC	0.8767445770976963	0.8837997232231599	0.8832357989384031	0.8823646001404946	0.8761999717460409	439	249	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82	0.8861179018555103
N1_BERTweet_AC_seed42	AC	42	AC	0.8811165293425256	0.8863306159528307	0.8873992577066185	0.8868157449775206	0.8808413492708606	350	316	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82	0.8856205752187284
N1_BERTweet_AC_seed7	AC	7	AC	0.8784260971918615	0.8828684820559429	0.8850658300476365	0.8838509578284435	0.8778608644155543	315	357	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82	0.883065544249948
N1_BERTweet_AL_seed42	AL	42	AC	0.3193206658819573	0.6651320634053722	0.3571415385323078	0.20059287489723895	0.1849733120308535	46	0	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82	0.999823417986284
N1_BERTweet_AL_seed42	AL	42	AL	1.0	1.0	1.0	1.0	1.0	0	0	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82	0.999823417986284
N1_BERTweet_GC_seed2026	GC	2026	GC	0.8819572893896082	0.8868579453860618	0.8883179074831165	0.8874883524814204	0.8815683922520146	353	307	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82	0.8870839158596131
N1_BERTweet_GC_seed42	GC	42	GC	0.8819572893896082	0.8873830801438382	0.8882091790463059	0.887424268005061	0.8815538299705044	378	279	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82	0.8855766267870155
N1_BERTweet_GC_seed7	GC	7	GC	0.8789305532201109	0.8839098175596822	0.8855147845148469	0.884439315381718	0.8784062008225081	379	295	5947	35725f6a2d2d99ca65578fa838bae7c8be645b16e6c26fecde0449ef13e32f82	0.8834635261547783
